time,open,high,low,close,volume,ticker
2024-06-21 09:15:00,18800,18850,18800,18850,7800,NHH
2024-06-21 09:04:00,219600,220200,219600,220200,200,MCH
2024-06-21 09:00:00,11600,11600,11600,11600,1000,S99
2024-06-21 09:00:00,7100,7100,7100,7100,2000,MGC
2024-06-21 09:09:00,12800,12800,12800,12800,100,EBS
2024-06-21 09:19:00,32800,32800,32800,32800,200,GLT
2024-06-21 10:45:00,19700,19700,19700,19700,100,DIH
2024-06-21 09:07:00,22000,22000,22000,22000,1000,LDP
2024-06-21 09:15:00,75800,75800,75800,75800,100,LIX
2024-06-21 09:15:00,9680,9680,9680,9680,100,SMA
2024-06-21 09:00:00,30900,30900,30900,30900,100,NHC
2024-06-21 09:03:00,39000,39000,39000,39000,100,L18
2024-06-21 09:03:00,55100,55100,55100,55100,1700,CAP
2024-06-21 09:00:00,2700,2700,2700,2700,1000,MCG
2024-06-21 09:03:00,11600,11600,11600,11600,100,DPC
2024-06-21 09:04:00,26900,26900,26900,26900,3100,ABI
2024-06-21 09:15:00,32800,32800,32800,32800,300,CTF
2024-06-21 10:18:00,7600,7600,7600,7600,100,HKT
2024-06-21 09:15:00,6740,6740,6740,6740,800,TCD
2024-06-21 09:05:00,2100,2100,2100,2100,100,L62
2024-06-21 09:58:00,32500,32500,31600,31600,4400,HMS
2024-06-21 09:10:00,4300,4300,4300,4300,100,DID
2024-06-21 09:15:00,98500,98500,98000,98100,9900,PNJ
2024-06-21 09:10:00,12600,12600,12600,12600,2300,TXM
2024-06-21 09:56:00,9800,9800,9800,9800,800,UDJ
2024-06-21 09:22:00,12900,12900,12900,12900,100,PPE
2024-06-21 09:15:00,51500,51500,51500,51500,3900,TV2
2024-06-21 09:19:00,43100,43100,43100,43100,100,STG
2024-06-21 10:02:00,17000,17000,17000,17000,200,C21
2024-06-21 09:02:00,23300,23300,23300,23300,3300,LAS
2024-06-21 09:00:00,14300,14300,14200,14200,16300,TIG
2024-06-21 09:00:00,62400,62400,62400,62400,500,IDC
2024-06-21 09:01:00,5000,5000,5000,5000,1100,GPC
2024-06-21 09:05:00,2400,2400,2400,2400,100,L61
2024-06-21 09:15:00,36500,36500,36500,36500,100,SSC
2024-06-21 09:03:00,7700,7700,7700,7700,200,API
2024-06-21 10:19:00,13000,13000,13000,13000,400,SVT
2024-06-21 09:07:00,220200,220200,220200,220200,100,MCH
2024-06-21 09:15:00,9410,9560,9410,9560,59700,APH
2024-06-21 09:19:00,5500,5500,5500,5500,100,C92
2024-06-21 09:46:00,26600,26600,25500,25500,7000,VPD
2024-06-21 09:15:00,12400,12400,12350,12400,65900,HHS
2024-06-21 09:05:00,14900,15000,14900,15000,200,TV4
2024-06-21 09:18:00,4200,4200,4200,4200,400,HOM
2024-06-21 09:16:00,9580,9590,9500,9500,24900,APH
2024-06-21 09:16:00,41950,41950,41950,41950,100,THG
2024-06-21 09:15:00,9310,9310,9310,9310,20100,HHP
2024-06-21 09:00:00,23100,23100,23100,23100,100,GSM
2024-06-21 09:15:00,8790,8790,8790,8790,2500,DHM
2024-06-21 09:15:00,22000,22000,22000,22000,10500,VIB
2024-06-21 09:28:00,9010,9010,9010,9010,100,MHC
2024-06-21 09:01:00,1000,1000,1000,1000,100,LUT
2024-06-21 09:00:00,1100,1100,1100,1100,1000,FTM
2024-06-21 09:00:00,36400,36400,32500,32500,200,CID
2024-06-21 09:00:00,4500,4500,4500,4500,1900,TGP
2024-06-21 09:13:00,900,900,900,900,1000,L44
2024-06-21 10:04:00,3510,3510,3510,3510,500,KMR
2024-06-21 09:15:00,15500,15500,15500,15500,15600,VPG
2024-06-21 09:03:00,3800,3800,3800,3800,1000,KSQ
2024-06-21 09:06:00,40800,40800,40800,40800,300,IDV
2024-06-21 09:28:00,25200,25200,25200,25200,200,HLD
2024-06-21 10:49:00,28950,28950,28950,28950,500,ADP
